,Unnamed: 0,nombre articulo,precio,link,company,model,year,version,color,fuel,doors,transmisions,motor,bodywork
582,582,Jeep Renegade 2.4 Trailhawk At9 4x4,38253.2637075718,https://auto.mercadolibre.com.ar/MLA-1299593085-jeep-renegade-4x4-2023-h-_JM#position=3&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Jeep,Renegade,2022,2.4 Trailhawk At9 4x4,Negro,Diésel,5,Automática,2.4,SUV
583,583,Jeep Compass 1.3 T270 Limited,44276.762402088774,https://auto.mercadolibre.com.ar/MLA-1299457877-jeep-compass-2023-h-_JM#position=4&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Jeep,Compass,2022,1.3 T270 Limited,Blanco,Nafta,5,Automática,1.3,SUV
584,584,Jeep Renegade 1.8 Longitude At6,31464.751958224544,https://auto.mercadolibre.com.ar/MLA-1299592870-jeep-renegade-2023-h-_JM#position=5&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Jeep,Renegade,2022,1.8 Longitude At6,Blanco,Nafta,5,Automática,1.8,SUV
585,585,Ram 1500 5.7 Laramie Atx V8,69483.02872062664,https://auto.mercadolibre.com.ar/MLA-1299572616-ram-1500-2023-h-_JM#position=6&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,RAM,1500,2022,5.7 Laramie Atx V8,Rojo,Nafta,4,Automática,5.7,Pick-Up
586,586,Ram 1500 5.7 Laramie Atx V8,67757.18015665797,https://auto.mercadolibre.com.ar/MLA-1299155410-ram-1500-2023-h-_JM#position=7&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,RAM,1500,2022,5.7 Laramie Atx V8,Negro,Nafta,4,Automática,5.7,Pick-Up
587,587,Citroën C3 1.6 Vti 115 At6 Feel,9138.381201044387,https://auto.mercadolibre.com.ar/MLA-1298862972-citron-c3-2023-16-vti-115-at6-feel-_JM#position=8&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Citroën,C3,2023,1.6 Vti 115 At6 Feel,Negro,Nafta,5,Automática,1.6,Hatchback
588,588,Citroën C3 1.2 12v Puretech 82 Feel,9138.381201044387,https://auto.mercadolibre.com.ar/MLA-1299091089-citron-c3-2023-12-12v-puretech-82-feel-_JM#position=9&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Citroën,C3,2023,1.2 12v Puretech 82 Feel,Blanco,Nafta,5,Manual,1.2,Hatchback
589,589,Renault Kangoo Ii Express Confort 5a 1.6 Sce,15140.992167101827,https://auto.mercadolibre.com.ar/MLA-1298804962-renault-kangoo-confort-5-asientos-16-16v-mixto-2023-d-_JM#position=10&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Renault,Kangoo,2022,Ii Express Confort 5a 1.6 Sce,Blanco,Nafta,3,Manual,1.6,Furgón
590,590,Citroën Berlingo 1.6 Vti 115 Business,9138.381201044387,https://auto.mercadolibre.com.ar/MLA-1299066060-citron-berlingo-2023-16-vti-115-business-_JM#position=11&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Citroën,Berlingo,2023,1.6 Vti 115 Business,Blanco,Nafta,3,Manual,1.6,Furgón
591,591,Citroën C4 Cactus 1.6 Vti 115 Feel,9399.47780678851,https://auto.mercadolibre.com.ar/MLA-1298906692-citron-c4-cactus-2023-16-vti-115-feel-_JM#position=12&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Citroën,C4 Cactus,2023,1.6 Vti 115 Feel,Blanco,Nafta,5,Manual,1.6,SUV
593,593,Renault Sandero 1.6 16v Intense,10673.629242819843,https://auto.mercadolibre.com.ar/MLA-1298906114-renault-sandero-intens-16-16v-cadenero-2023-d-_JM#position=14&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Renault,Sandero,2022,1.6 16v Intense,Plateado,Nafta,5,Manual,1.6,Hatchback
594,594,Jeep Compass Sport T270,31375.97911227154,https://auto.mercadolibre.com.ar/MLA-1298790393-jeep-compass-sport-at-13t-t270-concesionario-oficial-_JM#position=15&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Jeep,Compass,2023,Sport T270,Blanco,Nafta,5,Automática,,SUV
595,595,Peugeot 208 1.6l Active,13827.93733681462,https://auto.mercadolibre.com.ar/MLA-1298905092-peugeot-208-2023-16l-active-_JM#position=16&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Peugeot,208,2023,1.6l Active,Gris,Nafta,5,Manual,1.6,Hatchback
596,596,Peugeot Boxer 2.2 Hdi 435mh Premium,27958.22454308094,https://auto.mercadolibre.com.ar/MLA-1298854110-peugeot-boxer-2023-22-hdi-435mh-premium-_JM#position=17&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Peugeot,Boxer,2023,2.2 Hdi 435mh Premium,Blanco,Diésel,3,Manual,2.2,Furgón
597,597,Volkswagen Amarok Extreme 3.0l 258cv,42297.6501305483,https://auto.mercadolibre.com.ar/MLA-1298854016-volkswagen-amarok-extreme-258cv-4x4-at-2023-stock-sb-_JM#position=18&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Volkswagen,Amarok,2023,EXTREME 3.0L 258CV,Blanco,Diésel,4,Automática,3.0,Pick-Up
598,598,Chevrolet Spin 1.8 Ltz 7as At 105cv,16242.558746736293,https://auto.mercadolibre.com.ar/MLA-1298847533-chevrolet-spin-7-asientos-ltz-at-0-km-2023-contado-hmc-_JM#position=19&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Chevrolet,Spin,2022,1.8 Ltz 7as At 105cv,Gris,Nafta,5,Automática,1.8,Monovolumen
599,599,Peugeot Boxer 2.2 Hdi 435mh Premium,27956.91906005222,https://auto.mercadolibre.com.ar/MLA-1298853731-peugeot-boxer-2023-22-hdi-435mh-premium-_JM#position=20&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Peugeot,Boxer,2023,2.2 Hdi 435mh Premium,Blanco,Diésel,3,Manual,2.2,Furgón
600,600,Jeep Commander 2.0 Td380 At9 4x4 7pas Limited,43838.12010443864,https://auto.mercadolibre.com.ar/MLA-1298852800-jeep-commander-13t-4x2-2023-h-_JM#position=21&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Jeep,Commander,2022,2.0 Td380 At9 4x4 7pas Limited,Gris,Diésel,5,Automática,2.0,SUV
601,601,Renault Sandero 1.6 16v Sense,10963.446475195822,https://auto.mercadolibre.com.ar/MLA-1298786328-renault-sandero-zen-16-16v-oferta-2023-d-_JM#position=22&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Renault,Sandero,2022,1.6 16v Sense,Rojo,Nafta,5,Manual,1.6,Hatchback
602,602,Fiat Cronos Presicion,12148.825065274152,https://auto.mercadolibre.com.ar/MLA-1298316717-fiat-cronos-presicion-13-_JM#position=23&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Fiat,Cronos,2022,presicion,Blanco,Nafta,4,Automática,1.3,Sedán
603,603,Volkswagen Amarok 3.0 V6 Extreme,43603.13315926893,https://auto.mercadolibre.com.ar/MLA-1298598138-volkswagen-amarok-2022-30-v6-extreme-38-_JM#position=24&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Volkswagen,Amarok,2022,3.0 V6 Extreme,Plateado,Diésel,4,Automática,3.0,Pick-Up
604,604,Renault Captur 1.6 Intens Cvt,19321.148825065273,https://auto.mercadolibre.com.ar/MLA-1298213361-renault-captur-cvt-bose-0km-tomo-permuta-financiamos-stoc-jl-_JM#position=25&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Renault,Captur,2022,1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,SUV
605,605,Volkswagen Taos 1.4 250 Tsi Highline,30548.302872062664,https://auto.mercadolibre.com.ar/MLA-1298316578-volkswagen-taos-2022-14-250-tsi-highline-38-_JM#position=26&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Volkswagen,Taos,2022,1.4 250 Tsi Highline,Plateado,Nafta,5,Automática,1.4,SUV
606,606,Jeep Renegade Sport 1.8 Mt,18172.32375979112,https://auto.mercadolibre.com.ar/MLA-1298456309-jeep-renegade-2023-h-_JM#position=27&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Jeep,Renegade,2023,SPORT 1.8 MT,Blanco,Nafta,5,Manual,,SUV
