,nombre articulo,precio,link,company,model,year,version,color,fuel,doors,transmisions,motor,bodywork,km
59,Nissan Frontier 2.3t Xe 4x2 At L22,$10.100.000,https://auto.mercadolibre.com.ar/MLA-1318927378-nissan-frontier-xe-4x2-at-2023-_JM#position=12&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Nissan,Frontier,2023,2.3t Xe 4x2 At L22,Blanco,Diésel,4,Automática,2.3,Pick-Up,0 km
60,Fiat Pulse 1.0 Impetus T3 Cvt,$7.800.000,https://auto.mercadolibre.com.ar/MLA-1319184814-fiat-pulse-10-impetus-t3-cvt-mf-_JM#position=13&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Pulse,2023,1.0 Impetus T3 Cvt,Plateado,Nafta,5,Automática,1.0,SUV,0 km
61,Chevrolet Onix Plus 1.2,$4.699.900,https://auto.mercadolibre.com.ar/MLA-1319262439-chevrolet-onix-plus-12-0km-entrega-inmediata-al-5-_JM#position=14&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Chevrolet,Onix plus,2023,1.2,Gris,Nafta,4,Manual,1.2,Sedán,0 km
62,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,$7.000.000,https://auto.mercadolibre.com.ar/MLA-1319242809-fiat-toro-freedom-20-4x4-0km-7000000-retire-ya-fv-_JM#position=15&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up,0 km
63,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,$7.000.000,https://auto.mercadolibre.com.ar/MLA-1319294714-fiat-toro-20-350-multijet-freedom-4x4-at-mf-_JM#position=16&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up,0 km
64,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,$7.000.000,https://auto.mercadolibre.com.ar/MLA-1319294697-fiat-toro-freedom-20-4x4-0km-7000000-retire-ya-fv-_JM#position=17&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up,0 km
65,Nissan Frontier 2.3bt Xe 4x4 Mt L22,$12.500.000,https://auto.mercadolibre.com.ar/MLA-1319100898-nissan-frontier-xe-4x4-mt-2023-_JM#position=18&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Nissan,Frontier,2023,2.3bt Xe 4x4 Mt L22,Negro,Diésel,4,Automática,2.3,Pick-Up,0 km
66,Fiat Cronos 1.3 Drive S-design Mt,$2.000.000,https://auto.mercadolibre.com.ar/MLA-1319385264-fiat-cronos-s-design-2000000-retire-ya-fv-_JM#position=19&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive S-design Mt,Negro,Nafta,4,Manual,1.3,Sedán,0 km
67,Fiat Toro 2.0 Ranch 4x4 At,$11.351.000,https://auto.mercadolibre.com.ar/MLA-1319178221-fiat-toro-ranch-20-lh2-_JM#position=20&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 Ranch 4x4 At,Rojo,Diésel,4,Automática,2.0,Pick-Up,0 km
68,Chevrolet Cruze 1.4 Ltz At Sedan,$8.329.900,https://auto.mercadolibre.com.ar/MLA-1319255684-chevrolet-cruze-4-ltz-at-0km-okm-stock-nt-_JM#position=21&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Chevrolet,Cruze,2023,1.4 Ltz At Sedan,Negro,Nafta,4,Automática,1.4,Sedán,0 km
69,Chevrolet Cruze 5 1.4 Lt At 5p,$7.398.900,https://auto.mercadolibre.com.ar/MLA-1319294582-chevrolet-cruze-5-lt-at-0km-okm-stock-nt-_JM#position=22&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Chevrolet,Cruze 5,2023,1.4 Lt At 5p,Plateado,Nafta,5,Automática,1.4,Hatchback,0 km
70,Fiat Cronos 1.3 Drive S-design Mt,$2.000.000,https://auto.mercadolibre.com.ar/MLA-1319262247-fiat-cronos-s-design-0km-2000000-retire-ya-fv-_JM#position=23&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive S-design Mt,Negro,Nafta,4,Manual,1.3,Sedán,0 km
71,Fiat Cronos 1.3 Drive S-design Mt,$2.000.000,https://auto.mercadolibre.com.ar/MLA-1319178167-fiat-cronos-s-design-0km-2000000-retire-ya-fv-_JM#position=24&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive S-design Mt,Negro,Nafta,4,Manual,1.3,Sedán,0 km
72,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,$9.394.000,https://auto.mercadolibre.com.ar/MLA-1319288096-fiat-toro-freedom-lh2-_JM#position=25&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Gris,Diésel,4,Automática,2.0,Pick-Up,0 km
73,Fiat Cronos 1.3 Drive Mt,$1.290.000,https://auto.mercadolibre.com.ar/MLA-1319242637-fiat-cronos-drive-13-mt-0km-1290000-entrega-inmediata-fv-_JM#position=26&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán,0 km
74,Chevrolet Onix 1.2 Lt Tech,$4.999.900,https://auto.mercadolibre.com.ar/MLA-1319242619-chevrolet-onix-12-lt-tech-0km-entrega-inmediata-al-5-_JM#position=27&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Chevrolet,Onix,2023,1.2 Lt Tech,Rojo,Nafta,5,Manual,1.2,Hatchback,0 km
75,Fiat Cronos 1.3 Drive Mt,$1.290.000,https://auto.mercadolibre.com.ar/MLA-1319294485-fiat-cronos-drive-0km-mt-13-1290000-retire-ya-fv-_JM#position=28&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán,0 km
76,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,$10.300.000,https://auto.mercadolibre.com.ar/MLA-1319255559-fiat-toro-20-350-multijet-freedom-4x4-at-mf-_JM#position=29&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up,0 km
77,Chevrolet Tracker 1.2 Premier Turbo At,$7.899.900,https://auto.mercadolibre.com.ar/MLA-1319294467-chevrolet-tracker-premier-at-12-turbo-0km-al-5-_JM#position=30&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Chevrolet,Tracker,2023,1.2 Premier Turbo At,Gris,Nafta,5,Automática,1.2,SUV,0 km
78,Fiat Pulse 1.3 Drive Gse Mt,$6.400.000,https://auto.mercadolibre.com.ar/MLA-1319242502-fiat-pulse-13-drive-gse-mt-mf-_JM#position=31&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Pulse,2023,1.3 Drive Gse Mt,Plateado,Nafta,5,Manual,1.3,SUV,0 km
79,Nissan Frontier 2.3t Platinum 4x2 At L22,$12.000.000,https://auto.mercadolibre.com.ar/MLA-1319294357-nissan-frontier-platinum-4x2-at-2023-_JM#position=32&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Nissan,Frontier,2023,2.3t Platinum 4x2 At L22,Gris,Diésel,4,Automática,2.3,Pick-Up,0 km
80,Chevrolet Tracker 1.2 Turbo Premier At,$6.449.900,https://auto.mercadolibre.com.ar/MLA-1319255405-chevrolet-tracker-12-turbo-at-0km-entrega-inmediata-al5-_JM#position=33&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Chevrolet,Tracker,2023,1.2 Turbo Premier At,Gris,Nafta,5,Automática,1.2,SUV,0 km
