,company,model,year,fuel,doors,transmisions,motor,bodywork
808,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
809,Volkswagen,Amarok,2022,Diésel,4,Automática,2.0,Pick-Up
810,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
811,Citroën,C3,2023,Nafta,5,Manual,1.2,Hatchback
812,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
813,Volkswagen,Amarok,2022,Diésel,4,Automática,2.0,Pick-Up
814,Volkswagen,Amarok,2022,Diésel,4,Automática,2.0,Pick-Up
815,Citroën,Jumper,2023,Diésel,3,Manual,2.2,Furgón
816,Citroën,Jumper,2023,Diésel,3,Manual,2.2,Furgón
817,Chevrolet,Equinox,2022,Nafta,5,Automática,1.5,SUV
818,Volkswagen,Vento,2021,Nafta,4,Automática,1.4,Sedán
819,Volkswagen,Vento,2022,Nafta,4,Automática,1.4,Sedán
820,Volkswagen,Taos,2022,Nafta,5,Automática,1.4,SUV
821,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
822,Volkswagen,Taos,2022,Nafta,5,Automática,1.4,SUV
823,Jeep,Renegade,2021,Diésel,5,Automática,2.4,SUV
824,Chevrolet,Tracker,2021,Nafta,5,Manual,1.2,SUV
825,Fiat,TORO 1.3 T AT6,2021,Nafta,4,Automática,1.8,Pick-Up
826,Renault,Kangoo,2021,Diésel,3,Manual,1.5,Monovolumen
827,Chevrolet,Onix,2021,Nafta,5,Manual,1.4,Hatchback
828,Volkswagen,Taos,2021,Nafta,5,Automática,1.4,SUV
829,Peugeot,2008,2021,Nafta,5,Manual,1.6,SUV
830,Fiat,Strada,2021,Nafta/GNC,3,Manual,1.4,Pick-Up
831,Chevrolet,Cruze,2021,Nafta,5,Manual,1.4,Hatchback
832,Jeep,Renegade,2021,Nafta,5,Manual,1.8,SUV
833,Ford,Bronco Sport,2021,Nafta,5,Automática,1.5,Off-Road
834,Toyota,Hilux,2021,Diésel,4,Manual,2.4,Pick-Up
835,Volkswagen,Gol Trend,2021,Nafta,5,Manual,1.6,Hatchback
837,Jeep,Renegade,2021,Nafta,5,Manual,1.8,SUV
838,Peugeot,Partner,2021,Diésel,3,Manual,1.6,Hatchback
839,Renault,Captur,2021,Nafta,5,Automática,1.6,SUV
840,Chevrolet,Onix,2021,Nafta,5,Manual,1.2,Hatchback
841,Jeep,Renegade,2021,Nafta,5,Manual,1.8,SUV
842,Chevrolet,Tracker,2021,Nafta,5,Manual,1.2,SUV
843,Nissan,Kicks,2021,Nafta,5,Manual,1.6,Hatchback
844,Volkswagen,Nivus,2021,Nafta,5,Automática,1.0,SUV
845,Renault,Duster,2021,Nafta,5,Manual,2.0,SUV
846,Chevrolet,Tracker,2021,Nafta,5,Automática,1.2,SUV
847,Renault,Kangoo,2021,Nafta,3,Manual,1.6,Furgón
848,Peugeot,208,2021,Nafta,5,Manual,1.2,Hatchback
849,Volkswagen,Amarok,2021,Diésel,4,Automática,3.0,Pick-Up
850,Toyota,Etios,2021,Nafta,5,Manual,1.5,Hatchback
851,Renault,Sandero Stepway,2021,Nafta,5,Manual,1.6,Hatchback
852,Renault,Duster,2021,Nafta,5,Manual,2.0,SUV
853,Peugeot,Expert,2021,Diésel,3,Manual,1.6,Furgón
854,Volkswagen,Nivus,2021,Nafta,5,Automática,1.0,SUV
855,Peugeot,208,2021,Nafta,5,Manual,1.2,Hatchback
856,Nissan,Versa,2021,Nafta,4,Automática,1.6,Sedán
857,Toyota,Hilux,2021,Diésel,4,Automática,2.8,Pick-Up
859,Renault,ALASKAN,2021,Diésel,4,Manual,2.3,Pick-Up
860,Chevrolet,Cruze,2021,Nafta,4,Automática,1.4,Sedán
861,Peugeot,Partner,2023,Nafta,3,Manual,1.6,Furgón
862,Fiat,Argo,2021,Nafta,5,Automática,1.3,Hatchback
864,Toyota,Yaris,2021,Nafta,5,Manual,1.5,Hatchback
865,Renault,Duster,2021,Nafta,5,Manual,1.3,SUV
866,Volkswagen,T CROSS 1.0 TURBO,2021,Nafta,5,Manual,1.6,Hatchback
867,Nissan,Versa,2020,Nafta,4,Automática,1.6,Sedán
868,Nissan,Sentra,2021,Nafta,4,Automática,2.0,Sedán
869,Ford,Territory,2021,Nafta,5,Automática,1.5,SUV
870,Nissan,Sentra,2021,Nafta,4,Automática,2.0,Sedán
871,Fiat,Toro,2021,Diésel,4,Automática,2.0,Pick-Up
872,Nissan,Kicks,2021,Nafta,5,Manual,1.6,Hatchback
873,Fiat,Toro,2021,Diésel,4,Manual,2.0,Pick-Up
874,Fiat,Fiorino,2021,Nafta,3,Manual,1.4,Furgón
875,Chevrolet,Cruze II,2021,Nafta,4,Automática,1.4,Sedán
876,Peugeot,208,2021,Nafta,5,Manual,1.6,Hatchback
877,Volkswagen,Nivus,2021,Nafta,5,Automática,1.0,SUV
880,Nissan,Frontier,2020,Diésel,4,Manual,2.3,Pick-Up
881,Renault,Kangoo,2021,Nafta,3,Manual,1.6,Furgón
882,Nissan,Kicks,2021,Nafta,5,Automática,1.6,Hatchback
883,Renault,Kangoo,2021,Diésel,3,Manual,1.5,Monovolumen
884,Toyota,Hilux,2021,Diésel,4,Manual,2.4,Pick-Up
885,Renault,Captur,2021,Nafta,5,Automática,1.6,SUV
886,Volkswagen,Nivus,2021,Nafta,5,Automática,1.0,SUV
