,company,model,year,fuel,doors,transmisions,motor,bodywork,km
1574,BMW,X5,2007,Nafta,5,Automática,4.8,SUV,150016.0
1575,Fiat,Toro,2020,Diésel,4,Automática,2.0,Pick-Up,54000.0
1576,Peugeot,308,2012,Nafta,5,Automática,2.0,Hatchback,90000.0
1577,Audi,Q5,2017,Nafta,5,Automática,2.0,SUV,125000.0
1578,Peugeot,Partner Patagónica,2016,Diésel,4,Manual,1.6,Monovolumen,58000.0
1579,Volkswagen,Amarok,2018,Diésel,4,Automática,3.0,Pick-Up,67000.0
1580,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán,1000.0
1581,Volkswagen,Amarok,2015,Diésel,4,Automática,2.0,Pick-Up,114000.0
1582,Jeep,Cherokee,2012,Nafta,5,Automática,3.7,SUV,160000.0
1583,Renault,Sandero,2022,Nafta,5,Manual,1.6,Hatchback,1002.0
1584,Nissan,Kicks,2019,Nafta,5,Manual,1.6,Hatchback,79881.0
1585,Volkswagen,Suran,2017,Nafta,5,Manual,1.6,Hatchback,129300.0
1586,Chevrolet,Tracker,2017,Nafta,5,Manual,1.8,SUV,84286.0
1587,Ford,Focus III,2019,Nafta,5,Manual,2.0,Hatchback,30000.0
1588,Ford,Ecosport,2016,Nafta,5,Manual,1.6,SUV,121000.0
1589,Volkswagen,Vento,2015,Nafta,4,Automática,2.5,Sedán,130000.0
1590,Mercedes-Benz,Clase A,2019,Nafta,5,Automática,2.0,Hatchback,37000.0
1591,Peugeot,207,2011,Nafta,5,Manual,1.6,Hatchback,37000.0
1592,Mercedes-Benz,CLK,2009,Nafta,2,Automática,3.5,Coupé,69225.0
1593,Toyota,Hilux,2022,Diésel,4,Automática,2.8,Pick-Up,1500.0
1594,Ford,Fiesta Kinetic Design,2019,Nafta,5,Manual,1.6,Hatchback,39000.0
1595,Toyota,RAV4,2018,Nafta,5,Automática,2.0,SUV,106000.0
1596,Audi,S3,2017,Nafta,3,Automática,2.0,Hatchback,14200.0
1597,Toyota,Etios,2022,Nafta,5,Automática,1.5,Hatchback,111111.0
1598,Audi,A4,2018,Nafta,4,Automática,2.0,Sedán,75000.0
1599,Volkswagen,Passat,2017,Nafta,4,Automática,2.0,Sedán,168000.0
1600,Ford,Ranger,2019,Diésel,4,Manual,3.2,Pick-Up,113000.0
1601,Volkswagen,Golf,2018,Nafta,5,Automática,1.4,Hatchback,72000.0
1602,Toyota,Hilux,2020,Diésel,4,Manual,2.4,Pick-Up,50000.0
1603,Volkswagen,Suran,2017,Nafta/GNC,5,Automática,1.6,Monovolumen,77000.0
1604,Ford,Kuga,2017,Nafta,5,Automática,2.0,SUV,98824.0
1605,Peugeot,RCZ,2013,Nafta,2,Manual,1.6,Coupé,3500.0
1606,Alfa Romeo,Giulia,2019,Nafta,5,Automática,2.0,Sedán,11700.0
1607,Chevrolet,Spin,2016,Nafta,5,Automática,1.8,Monovolumen,86457.0
1608,BMW,Serie 1,2021,Nafta,5,Automática,1.5,Hatchback,21000.0
1609,Peugeot,504,1996,Diésel,4,Manual,2.3,Sedán,295000.0
1610,BMW,Serie 2,2016,Nafta,2,Automática,3.0,Coupé,85000.0
1611,DS,DS7 Crossback,2021,Diésel,5,Automática,2.0,Monovolumen,69000.0
1612,Fiat,Fiorino,2016,Nafta,3,Manual,1.4,Furgón,118190.0
1613,Honda,CR-V,2008,Nafta,5,Automática,2.4,SUV,200000.0
1614,Ford,Fiesta Kinetic Design,2016,Nafta,5,Manual,1.6,Hatchback,50000.0
1615,Chevrolet,Tracker,2015,Nafta,5,Automática,1.8,SUV,80000.0
1616,Nissan,Note,2016,Nafta,5,Manual,1.6,Hatchback,72100.0
1617,Jeep,Compass,2018,Nafta,5,Manual,2.4,SUV,45000.0
1618,Toyota,Hilux,2022,Diésel,4,Automática,2.8,Pick-Up,7400.0
1619,Ford,Ranger,2016,Diésel,4,Manual,3.2,Pick-Up,86100.0
1620,Ford,Focus III,2018,Nafta,5,Manual,2.0,Hatchback,67000.0
1621,Volkswagen,Amarok,2018,Diésel,4,Automática,3.0,Pick-Up,67400.0
1622,Ford,Ranger,2017,Diésel,4,Automática,3.2,Pick-Up,141000.0
